name,url,muscle_group,equipment
Front Squat,https://www.hevyapp.com/exercises/how-to-front-squat/,Quadriceps,Barbell
Zercher Squat,https://www.hevyapp.com/exercises/how-to-zercher-squat/,Quadriceps,Barbell
Hack Squat,https://www.hevyapp.com/exercises/how-to-hack-squat/,Quadriceps,Barbell
Lateral Squat,https://www.hevyapp.com/exercises/how-to-lateral-squat/,Quadriceps,Bodyweight
Stiff / straight leg deadlift,https://www.hevyapp.com/exercises/stiff-straight-leg-deadlift/,Hamstrings,Barbell
Deadlift (Dumbbell),https://www.hevyapp.com/exercises/dumbbell-deadlift/,Hamstrings,Dumbbell
Standing Leg Curls,https://www.hevyapp.com/exercises/how-to-standing-leg-curls/,Hamstrings,Machine
Single Leg Romanian Deadlift (Dumbbell),https://www.hevyapp.com/exercises/how-to-single-leg-romanian-deadlift-dumbbell/,Hamstrings,Dumbbell
Deadlift (Band),https://www.hevyapp.com/exercises/how-to-deadlift-band/,Hamstrings,Resistance Band
Glute Ham Raise,https://www.hevyapp.com/exercises/how-to-glute-ham-raise/,Hamstrings,Machine
Good Morning (Barbell),https://www.hevyapp.com/exercises/how-to-good-morning-barbell/,Hamstrings,Barbell
Lateral Leg Raises,https://www.hevyapp.com/exercises/lateral-leg-raises/,Glutes,None
Glute Kickback on Floor,https://www.hevyapp.com/exercises/glute-kickback-on-floor/,Glutes,None
Single Leg Glute Bridge,https://www.hevyapp.com/exercises/single-leg-glute-bridge/,Glutes,None
Hip Thrust,https://www.hevyapp.com/exercises/how-to-hip-thrust/,Glutes,Bodyweight
Glute Bridge,https://www.hevyapp.com/exercises/how-to-glute-bridge/,Glutes,Bodyweight
Fire Hydrants,https://www.hevyapp.com/exercises/how-to-fire-hydrants/,Glutes,Bodyweight
Shrug (Barbell),https://www.hevyapp.com/exercises/shrug-barbell/,Traps,Barbell
Upright Row (Barbell),https://www.hevyapp.com/exercises/how-to-upright-row-barbell/,Traps,Barbell
Shrug (Dumbbell),https://www.hevyapp.com/exercises/how-to-shrug-dumbbell/,Traps,Dumbbell
Seated Calf Raises,https://www.hevyapp.com/exercises/seated-calf-raises/,Calves,Machine
Single Leg Standing Calf Raise (Dumbbell),https://www.hevyapp.com/exercises/how-to-single-leg-standing-calf-raise-dumbbell/,Calves,Dumbbell
Calf Press (Machine),https://www.hevyapp.com/exercises/how-to-calf-press-machine/,Calves,Machine
