Name,Muscle Group,Equipment,Title,Video URL
Lat Pulldown (Machine),Lats,Machine,"Lat Pulldown (Machine) – How to Instructions, Proper Exercise Form and Tips",https://pump-app.s3.eu-west-2.amazonaws.com/exercise-assets/05791201-Lever-Front-Pulldown_Back.mp4
Single Arm Lat Pulldown,Lats,Machine,"Single Arm Lat Pulldown – How to Instructions, Proper Exercise Form and Tips",https://pump-app.s3.eu-west-2.amazonaws.com/exercise-assets/05791201-Lever-Front-Pulldown_Back.mp4
Sit Ups,Abdominals,None,"Sit Ups – The Benefits, Mistakes to Avoid, and Variations",https://pump-app.s3.eu-west-2.amazonaws.com/exercise-assets/00011201-3-4-Sit-up_Waist.mp4
Russian Twist (weighted),Abdominals,,"Russian Twist (weighted) – The Benefits, Expert Tips, and Mistakes to Avoid",https://pump-app.s3.eu-west-2.amazonaws.com/exercise-assets/23711201-Weighted-Russian-Twist_Waist.mp4
Russian Twist (Bodyweight),Abdominals,None,Russian Twists (Bodyweight)- Learn Variations and Mistakes to Avoid,https://pump-app.s3.eu-west-2.amazonaws.com/exercise-assets/06871201-Russian-Twist_waist.mp4
Russian Twist (Bodyweight),Abdominals,None,Russian Twists (Bodyweight)- Learn Variations and Mistakes to Avoid,https://pump-app.s3.eu-west-2.amazonaws.com/exercise-assets/12071201-Cable-twist-(down-up)_waist.mp4
Knee Raise Parallel Bars,Abdominals,None,Vertical Knee Raise (Parallel Bars) – Proper Form and Mistakes to Avoid,https://pump-app.s3.eu-west-2.amazonaws.com/exercise-assets/21261201-Captains-chair-leg-raise_Hips.mp4
Lying Knee Raise,Abdominals,None,Lying Knee Raises – Pro Tips on Proper Form and Mistakes to Avoid,https://pump-app.s3.eu-west-2.amazonaws.com/exercise-assets/08571201-Wheel-Rollout_Waist.mp4
Spiderman,Abdominals,None,Spiderman Plank- Two Common Mistakes to Avoid and Variations,https://pump-app.s3.eu-west-2.amazonaws.com/exercise-assets/02771201-Decline-Crunch_Waist.mp4
Oblique Crunch,Abdominals,None,Oblique Crunches – Tips on Form and Mistakes to Avoid,https://pump-app.s3.eu-west-2.amazonaws.com/exercise-assets/06351201-Oblique-Crunches-Floor_Waist.mp4
Reverse Plank,Abdominals,Bodyweight,"Reverse Plank – How to Instructions, Proper Exercise Form and Tips",https://pump-app.s3.eu-west-2.amazonaws.com/exercise-assets/08671201-Reverse-plank_Back.mp4
V Up,Abdominals,Bodyweight,"V Up – How to Instructions, Proper Exercise Form and Tips", https://pump-app.s3.eu-west-2.amazonaws.com/exercise-assets/08251201-V-up_Waist.mp4
V Up,Abdominals,Bodyweight,"V Up – How to Instructions, Proper Exercise Form and Tips", https://pump-app.s3.eu-west-2.amazonaws.com/exercise-assets/02771201-Decline-Crunch_Waist.mp4
V Up,Abdominals,Bodyweight,"V Up – How to Instructions, Proper Exercise Form and Tips",https://pump-app.s3.eu-west-2.amazonaws.com/exercise-assets/01751201-Cable-Kneeling-Crunch_Waist.mp4
Decline Crunch,Abdominals,Bodyweight,"Decline Crunch – How to Instructions, Proper Exercise Form and Tips", https://pump-app.s3.eu-west-2.amazonaws.com/exercise-assets/02771201-Decline-Crunch_Waist.mp4
Decline Crunch,Abdominals,Bodyweight,"Decline Crunch – How to Instructions, Proper Exercise Form and Tips",https://pump-app.s3.eu-west-2.amazonaws.com/exercise-assets/01751201-Cable-Kneeling-Crunch_Waist.mp4
Jackknife Sit Up,Abdominals,Bodyweight,"Jackknife Sit Up – How to Instructions, Proper Exercise Form and Tips",https://pump-app.s3.eu-west-2.amazonaws.com/exercise-assets/02771201-Decline-Crunch_Waist.mp4
Jackknife Sit Up,Abdominals,Bodyweight,"Jackknife Sit Up – How to Instructions, Proper Exercise Form and Tips",https://pump-app.s3.eu-west-2.amazonaws.com/exercise-assets/01751201-Cable-Kneeling-Crunch_Waist.mp4
Cable Crunch,Abdominals,Machine,"Cable Crunch – How to Instructions, Proper Exercise Form and Tips", https://pump-app.s3.eu-west-2.amazonaws.com/exercise-assets/01751201-Cable-Kneeling-Crunch_Waist.mp4
Cable Crunch,Abdominals,Machine,"Cable Crunch – How to Instructions, Proper Exercise Form and Tips",https://pump-app.s3.eu-west-2.amazonaws.com/exercise-assets/02771201-Decline-Crunch_Waist.mp4
Sumo Deadlift,Quadriceps,Barbell,Sumo Deadlift – The Benefits and Mistakes to Avoid,https://pump-app.s3.eu-west-2.amazonaws.com/exercise-assets/01171201-Barbell-Sumo-Deadlift_Hips.mp4
Sumo Deadlift,Quadriceps,Barbell,Sumo Deadlift – The Benefits and Mistakes to Avoid, https://pump-app.s3.eu-west-2.amazonaws.com/exercise-assets/05931201-Lever-Reverse-Hyperextension-(plate-loaded)_Hips.mp4
Sumo Squat (barbell),Quadriceps,Barbell,"Sumo Squat (barbell) – Tips on Proper Form, Varaitons and Modifications", https://pump-app.s3.eu-west-2.amazonaws.com/exercise-assets/10631201-Barbell-sumo-squat_Thighs.mp4
Reverse Lunge,Quadriceps,None,"Reverse Lunge – Learn the Benefits, Mistakes to Avoid, and Similar Exercises", https://pump-app.s3.eu-west-2.amazonaws.com/exercise-assets/10371201-Lever-Standing-Rear-Kick_Hips.mp4
Reverse Lunge,Quadriceps,None,"Reverse Lunge – Learn the Benefits, Mistakes to Avoid, and Similar Exercises", https://pump-app.s3.eu-west-2.amazonaws.com/exercise-assets/03361201-Dumbbell-Lunge_Hips.mp4
Split Squat (Dumbbell),Quadriceps,Dumbbell,Dumbbell Split Squat – Learn the Benefits and Expert Tips on Form,https://pump-app.s3.eu-west-2.amazonaws.com/exercise-assets/29601201-Dumbbell-Split-Squat_Thighs.mp4
Split Squat (Dumbbell),Quadriceps,Dumbbell,Dumbbell Split Squat – Learn the Benefits and Expert Tips on Form, https://pump-app.s3.eu-west-2.amazonaws.com/exercise-assets/03361201-Dumbbell-Lunge_Hips.mp4
Lunge (Barbell),Quadriceps,Barbell,Barbell Lunges – Learn the Benefits and Mistakes to Avoid,https://pump-app.s3.eu-west-2.amazonaws.com/exercise-assets/00541201-Barbell-Lunge_Thighs.mp4
Sissy Squat,Quadriceps,None,Sissy Squat – Progression into the Full Movement and Mistakes to Avoid,https://pump-app.s3.eu-west-2.amazonaws.com/exercise-assets/08511201-Weighted-Sissy-Squat_Thighs.mp4
Goblet Squat,Quadriceps,Barbell,"Goblet Squat – How to Instructions, Proper Exercise Form and Tips",https://pump-app.s3.eu-west-2.amazonaws.com/exercise-assets/00431201-Barbell-Full-Squat_Thighs.mp4
Lunge (Dumbbell),Quadriceps,Dumbbell,"Lunge (Dumbbell) – How to Instructions, Proper Exercise Form and Tips",https://pump-app.s3.eu-west-2.amazonaws.com/exercise-assets/03361201-Dumbbell-Lunge_Hips.mp4
Jump Squat,Quadriceps,Bodyweight,"Jump Squat – How to Instructions, Proper Exercise Form and Tips", https://pump-app.s3.eu-west-2.amazonaws.com/exercise-assets/05141201-Jump-Squat_Thighs.mp4
Jump Squat,Quadriceps,Bodyweight,"Jump Squat – How to Instructions, Proper Exercise Form and Tips",https://pump-app.s3.eu-west-2.amazonaws.com/exercise-assets/03361201-Dumbbell-Lunge_Hips.mp4
Lunge (Dumbbell),Quadriceps,Dumbbell,"Lunge (Dumbbell) – How to Instructions, Proper Exercise Form and Tips",https://pump-app.s3.eu-west-2.amazonaws.com/exercise-assets/03361201-Dumbbell-Lunge_Hips.mp4
Hack Squat,Quadriceps,Barbell,"Hack Squat – How to Instructions, Proper Exercise Form and Tips",https://pump-app.s3.eu-west-2.amazonaws.com/exercise-assets/00461201-Barbell-Hack-Squat_Hips.mp4
Hack Squat,Quadriceps,Barbell,"Hack Squat – How to Instructions, Proper Exercise Form and Tips",https://pump-app.s3.eu-west-2.amazonaws.com/exercise-assets/05141201-Jump-Squat_Thighs.mp4
Lateral Squat,Quadriceps,Bodyweight,"Lateral Squat – How to Instructions, Proper Exercise Form and Tips",https://pump-app.s3.eu-west-2.amazonaws.com/exercise-assets/03361201-Dumbbell-Lunge_Hips.mp4
Stiff / straight leg deadlift,Hamstrings,Barbell,Stiff / Straight Leg Deadlift – Learn How to Perform and Common Mistakes, https://pump-app.s3.eu-west-2.amazonaws.com/exercise-assets/01161201-Barbell-Straight-Leg-Deadlift_Thighs.mp4
Stiff / straight leg deadlift,Hamstrings,Barbell,Stiff / Straight Leg Deadlift – Learn How to Perform and Common Mistakes,https://pump-app.s3.eu-west-2.amazonaws.com/exercise-assets/00321201-Barbell-Deadlift_Hips-FIX.mp4
Deadlift (Dumbbell),Hamstrings,Dumbbell,Dumbbell Deadlift – Top Tips on Form and 2 Mistakes to Avoid,https://pump-app.s3.eu-west-2.amazonaws.com/exercise-assets/14591201-Dumbbell-Romanian-Deadlift_Hips.mp4
Deadlift (Dumbbell),Hamstrings,Dumbbell,Dumbbell Deadlift – Top Tips on Form and 2 Mistakes to Avoid,https://pump-app.s3.eu-west-2.amazonaws.com/exercise-assets/00321201-Barbell-Deadlift_Hips-FIX.mp4
Standing Leg Curls,Hamstrings,Machine,"Standing Leg Curls – How to Instructions, Proper Exercise Form and Tips", https://pump-app.s3.eu-west-2.amazonaws.com/exercise-assets/05991201-Lever-Seated-Leg-Curl_Thighs.mp4
Standing Leg Curls,Hamstrings,Machine,"Standing Leg Curls – How to Instructions, Proper Exercise Form and Tips",https://pump-app.s3.eu-west-2.amazonaws.com/exercise-assets/05861201-Lever-Lying-Leg-Curl_Thighs.mp4
Glute Ham Raise,Hamstrings,Machine,"Glute Ham Raise – How to Instructions, Proper Exercise Form and Tips",https://pump-app.s3.eu-west-2.amazonaws.com/exercise-assets/22131201-Barbell-Romanian-Deadlift-(female)_Hips.mp4
Good Morning (Barbell),Hamstrings,Barbell,"Good Morning (Barbell) – How to Instructions, Proper Exercise Form and Tips",https://pump-app.s3.eu-west-2.amazonaws.com/exercise-assets/00441201-Barbell-Good-Morning_Thighs.mp4
Glute Kickback on Floor,Glutes,None,"Glute Kickback on Floor – The Benefits, Variations, and Mistakes to Avoid",https://pump-app.s3.eu-west-2.amazonaws.com/exercise-assets/14741201-Bent-Leg-Kickback-(kneeling)_Hips.mp4
Single Leg Glute Bridge,Glutes,None,Single Leg Glute Bridge – Learn the Benefits and Mistakes to Avoid, https://pump-app.s3.eu-west-2.amazonaws.com/exercise-assets/10371201-Lever-Standing-Rear-Kick_Hips.mp4
Shrug (Barbell),Traps,Barbell,Shrug (Barbell) – How to Instructions and Exercise Variations,https://pump-app.s3.eu-west-2.amazonaws.com/exercise-assets/00951201-Barbell-Shrug_Back.mp4
Upright Row (Barbell),Traps,Barbell,"Upright Row (Barbell) – How to Instructions, Proper Exercise Form and Tips",https://pump-app.s3.eu-west-2.amazonaws.com/exercise-assets/01211201-Barbell-Upright-Row_Shoulders.mp4
Shrug (Dumbbell),Traps,Dumbbell,"Shrug (Dumbbell) – How to Instructions, Proper Exercise Form and Tips",https://pump-app.s3.eu-west-2.amazonaws.com/exercise-assets/04061201-Dumbbell-Shrug_Back.mp4
Shrug (Dumbbell),Traps,Dumbbell,"Shrug (Dumbbell) – How to Instructions, Proper Exercise Form and Tips",https://pump-app.s3.eu-west-2.amazonaws.com/exercise-assets/01211201-Barbell-Upright-Row_Shoulders.mp4
Seated Calf Raises,Calves,Machine,Seated Calf Raises – Tips for Proper Form and Importance of the Exercise, https://pump-app.s3.eu-west-2.amazonaws.com/exercise-assets/05941201-Lever-Seated-Calf-Raise-(plate-loaded).mp4
Single Leg Standing Calf Raise (Dumbbell),Calves,Dumbbell,"Single Leg Standing Calf Raise (Dumbbell) – How to Instructions, Proper Exercise Form and Tips",https://pump-app.s3.eu-west-2.amazonaws.com/exercise-assets/04171201-Dumbbell-Standing-Calf-Raise_Calves.mp4
Single Leg Standing Calf Raise (Dumbbell),Calves,Dumbbell,"Single Leg Standing Calf Raise (Dumbbell) – How to Instructions, Proper Exercise Form and Tips",https://pump-app.s3.eu-west-2.amazonaws.com/exercise-assets/07381201-Sled-45-Calf-Press_Calves.mp4
Calf Press (Machine),Calves,Machine,"Calf Press (Machine) – How to Instructions, Proper Exercise Form and Tips",https://pump-app.s3.eu-west-2.amazonaws.com/exercise-assets/07381201-Sled-45-Calf-Press_Calves.mp4
Calf Press (Machine),Calves,Machine,"Calf Press (Machine) – How to Instructions, Proper Exercise Form and Tips", https://pump-app.s3.eu-west-2.amazonaws.com/exercise-assets/04171201-Dumbbell-Standing-Calf-Raise_Calves.mp4
Calf Press (Machine),Calves,Machine,"Calf Press (Machine) – How to Instructions, Proper Exercise Form and Tips",https://pump-app.s3.eu-west-2.amazonaws.com/exercise-assets/05941201-Lever-Seated-Calf-Raise-(plate-loaded).mp4
